"Name","Value"
"210","15590"
"a380","51290"
"a580","71110"
"a750","90190"
"a770","106400"
"gt-1030","28900"
"gt-710","15500"
"gt-730","20910"
"gtx-1050-ti","67810"
"gtx-1630","64990"
"gtx-1650","56326"
"gtx-1660","109650"
"gtx-1660-super","105429"
"gtx-1660-ti","103350"
"p1000","115170"
"p2000","229648"
"p2200","289878"
"p400","59900"
"r7-240","29360"
"rtx-2060","126050"
"rtx-2060-super","231700"
"rtx-3050","77680"
"rtx-3060","109990"
"rtx-3060-ti","144999"
"rtx-3070","189990"
"rtx-3070-ti","230090"
"rtx-3080","317900"
"rtx-3080-ti","358000"
"rtx-3090","506672"
"rtx-3090-ti","567589"
"rtx-4000","460578"
"rtx-4060","120520"
"rtx-4060-ti","154755"
"rtx-4070","226890"
"rtx-4070-super","255790"
"rtx-4070-ti","321690"
"rtx-4070-ti-super","358000"
"rtx-4080","435000"
"rtx-4080-super","454490"
"rtx-4090","744990"
"rtx-4500","1153480"
"rtx-5000","939255"
"rtx-6000","1287470"
"rtx-8000","3689323"
"rtx-a2000","230670"
"rtx-a4000","423585"
"rtx-a4500","709900"
"rtx-a5000","1051019"
"rtx-a6000","2206559"
"rx-550","30990"
"rx-5500-xt","93610"
"rx-560","44357"
"rx-570","237530"
"rx-5700","146841"
"rx-580","124900"
"rx-6400","50010"
"rx-6500-xt","61390"
"rx-6600","81790"
"rx-6600-xt","149995"
"rx-6650-xt","127690"
"rx-6700","126990"
"rx-6700-xt","146990"
"rx-6750-xt","151690"
"rx-6800","159990"
"rx-6800-xt","217800"
"rx-6900-xt","279390"
"rx-6950-xt","387758"
"rx-7600","109990"
"rx-7600-xt","146490"
"rx-7700-xt","178900"
"rx-7800-xt","219900"
"rx-7900","240790"
"rx-7900-gre","246150"
"rx-7900-xt","325440"
"rx-7900-xtx","417190"
"w7600","263990"
"w7800","1113980"
"w7900","1780290"
"wx-2100","90067"
"wx-3100","103448"
"wx-3200","67190"
"wx-5100","172919"
"wx-7100","378007"
"wx-8200","289895"
